table,page,col1,col2,col3,col4,col5,skip_rows,num_rows
tab1,57,7,13,6,9,NA,8,39
tab2,58,6,14,6,9,NA,2,48
tab3,59,6,14,6,9,NA,2,47
tab4,60,6,14,6,9,NA,2,49
tab5,61,6,14,6,9,NA,2,45
tab6,62,6,14,6,9,NA,2,46
tab7,63,6,14,6,9,NA,2,47
tab8,64,6,14,6,9,NA,2,47
tab9,65,6,14,6,9,NA,2,48
tab10,66,6,14,6,9,NA,2,46
tab11,67,6,14,6,9,NA,2,46
tab12,68,6,14,6,9,NA,2,44
tab13,69,6,14,6,9,NA,2,43
tab14,70,6,14,6,9,NA,2,44
tab15,71,6,14,6,9,NA,2,47
tab16,72,6,14,6,9,NA,2,16
