file,sheet,start_row,headers,head1,head2,head3,head4
isco_soc.xls,2010 SOC to ISCO-08,8,FALSE,soc_code,soc_title,isco_code,isco_title
anzsco_isco.xls,ANZSCO Version 1.2 to ISCO-08,9,FALSE,anzsco_code,anzsco_title,isco_code,isco_title
